date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:08:18	112931/112931	---M--	200	added ('OK')	image/jpeg	etag:%221b923-5b241ee20df04%22	https://covid.gov.pk/new_guidelines/image/22October2020_20201022_Guidelines_for_Tableegi-_Ijtama_during_COVID_19_5201.JPG	C:/My%20Web%20Sites/test/covid.gov.pk/new_guidelines/image/22October2020_20201022_Guidelines_for_Tableegi-_Ijtama_during_COVID_19_5201.jpg	(from https://covid.gov.pk/guideline)
05:08:18	657321/657321	---M--	200	added ('OK')	application/pdf	etag:%22a07a9-5b46f0357b91e%22	https://covid.gov.pk/new_guidelines/19November2020_20201118_Guidelines_for_International_Passengers_Arriving_at__Airport_in_Pakistan__4804.pdf	C:/My%20Web%20Sites/test/covid.gov.pk/new_guidelines/19November2020_20201118_Guidelines_for_International_Passengers_Arriving_at__Airport_in_Pakistan__4804.pdf	(from https://covid.gov.pk/guideline)
05:08:18	1306863/1306863	---M--	200	added ('OK')	application/pdf	etag:%2213f0ef-5b51bcffcdc4d%22	https://covid.gov.pk/new_guidelines/28November2020_20201127_Additional_Guidelines_for_Marriage_Events_Ceremonies_during_COVID_19_4505.pdf	C:/My%20Web%20Sites/test/covid.gov.pk/new_guidelines/28November2020_20201127_Additional_Guidelines_for_Marriage_Events_Ceremonies_during_COVID_19_4505.pdf	(from https://covid.gov.pk/guideline)
05:08:18	578330/578330	---M--	200	added ('OK')	application/pdf	etag:%228d31a-5b352977e8a7a%22	https://covid.gov.pk/new_guidelines/05November2020_20201104_TESTING_STRATEGY_INCORPORATING_COVID-19_ANTIGEN_DETECTION_RAPID_DIAGNOSTIC_TESTS_5301.pdf	C:/My%20Web%20Sites/test/covid.gov.pk/new_guidelines/05November2020_20201104_TESTING_STRATEGY_INCORPORATING_COVID-19_ANTIGEN_DETECTION_RAPID_DIAGNOSTIC_TESTS_5301.pdf	(from https://covid.gov.pk/guideline)
05:08:19	235763/235763	---M--	200	added ('OK')	application/pdf	etag:%22398f3-5b241ee20df04%22	https://covid.gov.pk/new_guidelines/22October2020_20201022_Guidelines_for_Tableegi-_Ijtama_during_COVID_19_5201.pdf	C:/My%20Web%20Sites/test/covid.gov.pk/new_guidelines/22October2020_20201022_Guidelines_for_Tableegi-_Ijtama_during_COVID_19_5201.pdf	(from https://covid.gov.pk/guideline)
05:08:19	103246/103246	---M--	200	added ('OK')	image/jpeg	etag:%221934e-5b1f135ef7cf6%22	https://covid.gov.pk/new_guidelines/image/18October2020_20201018_Guidelines_EID_Milad-Un-Nabi_(PBUH)_Processions_and_Gatherings_During_COVID19_5101.JPG	C:/My%20Web%20Sites/test/covid.gov.pk/new_guidelines/image/18October2020_20201018_Guidelines_EID_Milad-Un-Nabi_(PBUH)_Processions_and_Gatherings_During_COVID19_5101.jpg	(from https://covid.gov.pk/guideline)
05:08:19	170958/170958	---M--	200	added ('OK')	application/pdf	etag:%2229bce-5b1f135ef7cf6%22	https://covid.gov.pk/new_guidelines/18October2020_20201018_Guidelines_EID_Milad-Un-Nabi_(PBUH)_Processions_and_Gatherings_During_COVID19_5101.pdf	C:/My%20Web%20Sites/test/covid.gov.pk/new_guidelines/18October2020_20201018_Guidelines_EID_Milad-Un-Nabi_(PBUH)_Processions_and_Gatherings_During_COVID19_5101.pdf	(from https://covid.gov.pk/guideline)
05:08:20	114812/114812	---M--	200	added ('OK')	image/jpeg	etag:%221c07c-5b1b001fc9a14%22	https://covid.gov.pk/new_guidelines/image/15October2020_20201013_Guidelines_for_Mass_Gatherings_5001.JPG	C:/My%20Web%20Sites/test/covid.gov.pk/new_guidelines/image/15October2020_20201013_Guidelines_for_Mass_Gatherings_5001.jpg	(from https://covid.gov.pk/guideline)
05:08:20	180611/180611	---M--	200	added ('OK')	application/pdf	etag:%222c183-5b1b001fc9a14%22	https://covid.gov.pk/new_guidelines/15October2020_20201013_Guidelines_for_Mass_Gatherings_5001.pdf	C:/My%20Web%20Sites/test/covid.gov.pk/new_guidelines/15October2020_20201013_Guidelines_for_Mass_Gatherings_5001.pdf	(from https://covid.gov.pk/guideline)
05:08:21	121098/121098	---M--	200	added ('OK')	image/jpeg	etag:%221d90a-5b049f4018844%22	https://covid.gov.pk/new_guidelines/image/27September2020_20200926_Guidelines_for_Home_Quarantine_for_Contacts_and_International_Travelers_0403.JPG	C:/My%20Web%20Sites/test/covid.gov.pk/new_guidelines/image/27September2020_20200926_Guidelines_for_Home_Quarantine_for_Contacts_and_International_Travelers_0403.jpg	(from https://covid.gov.pk/guideline)
05:08:21	108359/108359	---M--	200	added ('OK')	application/pdf	etag:%221a747-5b049f4018844%22	https://covid.gov.pk/new_guidelines/27September2020_20200926_Guidelines_for_Home_Quarantine_for_Contacts_and_International_Travelers_0403.pdf	C:/My%20Web%20Sites/test/covid.gov.pk/new_guidelines/27September2020_20200926_Guidelines_for_Home_Quarantine_for_Contacts_and_International_Travelers_0403.pdf	(from https://covid.gov.pk/guideline)
05:08:21	140397/140397	---M--	200	added ('OK')	image/jpeg	etag:%222246d-5b049eb14d7a6%22	https://covid.gov.pk/new_guidelines/image/27September2020_20200926_Guidelines_for_Contact_Sports_in_wake_of_COVID_19_4901.JPG	C:/My%20Web%20Sites/test/covid.gov.pk/new_guidelines/image/27September2020_20200926_Guidelines_for_Contact_Sports_in_wake_of_COVID_19_4901.jpg	(from https://covid.gov.pk/guideline)
